ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
NY0303000,0.44,0.15,0.3,0.1,0,0.01,4285,4744,4965,3874,3393,,8300377
CA0194200,0.33,0.1,0.46,0.08,0,0.03,2579,2609,2874,2097,2227,2379,4000587
MI8234900,0.34,0.6,0.04,0.01,0,0,1109,1091,1155,1144,1313,,659616
ILCPD0000,0.52,0.22,0.23,0.03,0,0,739,1145,1922,2981,3355,,2693598
OHCOP0000,0.87,0.1,0.01,0.01,0,0,788,521,524,910,826,,891855
WASPD0000,0.73,0.09,0.05,0.06,0.02,0.05,1524,1172,928,537,,,771517
OR0260200,0.84,0.04,0.04,0.06,0,0.02,1161,1149,903,739,301,,660216
TNMPD0000,0.37,0.58,0.03,0,0,0.01,,511,587,488,566,609,650937
FL0480000,0.65,0.14,0.18,0.02,0,0.01,406,581,645,715,683,,905376
MN0271100,0.77,0.09,0.04,0.05,0.02,0.02,222,366,388,451,322,,435116
CA0340000,0.7,0.05,0.14,0.09,0.01,0.01,174,303,205,191,347,414,657602
MDBPD0000,0.49,0.4,0.09,0.02,0,0,412,420,939,541,,,588594
TX2201200,0.68,0.11,0.18,0.02,0.01,0,298,154,184,119,2329,,919789
VA0290100,0.83,0.08,0.05,0.04,0,0,154,252,373,319,147,,1112320
OHCLP0000,0.66,0.23,0.09,0,0,0.01,263,227,220,276,324,,379121
NB0280200,0.79,0.08,0.1,0.02,0.01,0,166,206,208,161,115,60,480297
FL0060300,0.67,0.15,0.17,0,0,0,122,208,13,15,54,13,184347
FL0130000,0.2,0.21,0.58,0,0,0.01,189,141,104,113,48,,1186380
AZ0071700,0.79,0.04,0.14,0.02,0.01,0,165,127,198,143,,82,527361
WA0270300,0.83,0.05,0.02,0.08,0.01,0,118,121,119,118,88,130,220123
MI3351900,0.81,0.1,0.05,0.03,0.01,0,,20,33,42,43,,113754
SC0400100,0.65,0.32,0.01,0.01,0,0,91,101,97,84,81,74,131185
NC0320100,0.65,0.29,0.05,0,0,0,117,52,88,63,20,21,284892
FL0290200,0.69,0.13,0.15,0.02,0,0,76,287,269,164,162,,407350
TXDPD0000,0.5,0.26,0.21,0.02,0.01,0,204,454,851,1386,703,,1278608
NY0270100,0.64,0.09,0.12,0,0,0.14,104,92,79,60,32,,205199
MO0950000,0.88,0.09,0.01,0,0,0.01,46,36,26,30,247,15,406289
WIMPD0000,0.66,0.17,0.13,0.02,0.01,0.01,153,108,137,189,150,,589105
FL0010100,0.77,0.16,0.06,0,0,0.01,87,54,45,34,36,,135076
MT0560100,0.95,0.01,0.02,0.01,0.01,0.01,78,72,91,81,,85,110157
KS0870300,0.83,0.06,0.07,0.03,0,0,114,230,207,218,471,297,390746
AZ0071100,0.85,0,0.12,0,0,0.02,74,68,91,116,109,,259629
OHCIP0000,0.68,0.29,0.01,0.01,0,0.02,446,487,745,654,631,201,304724
NC0600100,0.75,0.18,0.05,0.02,0,0.01,85,45,67,70,123,94,958358
ID0010100,0.91,0.02,0.02,0,0,0.04,52,72,68,33,38,47,231223
TX2270100,0.68,0.1,0.2,0.02,0,0,1177,976,53,501,1012,,943059
MD0030100,0.82,0.13,0.02,0.02,0,0,71,44,48,44,33,,826987
HI0020000,0.12,0.01,0.01,0.3,0,0.56,101,152,174,185,219,,966438
AR0600200,0.64,0.31,0.03,0.01,0.01,0,54,85,68,112,139,119,197688
MOKPD0000,0.77,0.12,0.05,0.01,0.01,0.06,287,277,274,236,216,,318398
GA0290100,0.82,0.14,0.03,0,0,0.01,50,54,64,48,,,128152
TX0571500,0.82,0.06,0.09,0.01,0.01,0.01,66,72,112,74,61,,242976
WA0320400,0.92,0.01,0.03,0,0.02,0.02,78,104,113,77,83,,223524
GA0250300,0.61,0.31,0.05,0.02,0,0.01,71,40,0,0,0,,237691
NV0020300,0.82,0.03,0.1,0.04,0.01,0,50,42,32,80,14,,328056
OK0550600,0.84,0.06,0.06,0.01,0.03,0,52,25,55,48,45,,532581
SD0490200,0.91,0.01,0.03,0.02,0.02,0.01,48,37,52,49,13,,156915
FL0531200,0.75,0.12,0.11,0,0.02,0,43,47,25,15,15,23,113876
IL0720700,0.81,0.14,0.03,0.02,0,0,14,52,22,24,46,,109924
IA0570100,0.96,0.02,0.01,0.01,0,0,33,24,22,34,26,31,134330
MD0020200,0.87,0.09,0.02,0.01,0,0,34,39,132,89,19,46,542622
FL0490200,0.63,0.08,0.29,0,0,0,8,5,5,4,108,,74337
SC0100800,0.78,0.17,0.04,0.01,0,0,20,11,23,9,43,,93203
NY0140100,0.61,0.19,0.09,0,0,0.11,92,,51,59,59,,254627
FL0051200,0.78,0.08,0.12,0.01,0.01,0,59,,41,52,63,,116897
CT0010300,0.73,0.13,0.11,0.01,0.01,0.01,21,36,27,34,,,89140
NC0260100,0.68,0.19,0.08,0.05,0,0,38,90,176,154,63,,212033
NC0340200,0.77,0.16,0.05,0.01,0.01,0,11,8,25,19,,,250021
NC0920100,0.84,0.1,0.04,0.01,0,0.01,24,26,29,32,11,,480964
MN0620900,0.74,0.05,0.04,0.09,0.01,0.06,137,167,202,163,202,,309859
VA0990000,0.68,0.15,0.1,0.06,0,0.01,18,35,19,20,,18,161525
IN0710200,0.86,0.08,0.04,0,0,0.01,30,13,9,48,37,,102119
FL0360200,0.91,0.02,0.06,0,0,0,28,11,10,4,,,199503
TX1780200,0.48,0.03,0.48,0,0.01,0,46,30,22,16,14,16,329050
NJ0120500,0.85,0.06,0.05,0.04,0,0,26,35,24,28,32,,99584
AZ0070500,0.87,0.02,0.1,0.02,0,0,11,9,5,3,,,264071
TX0571100,0.77,0.08,0.12,0.02,0.01,0,8,9,18,7,9,9,241455
FL0521400,0.75,0.14,0.07,0.03,0,0.01,18,7,4,10,7,10,267690
TX2120400,0.9,0.05,0.04,0,0.01,0,4,8,3,4,,,108139
SC0100100,0.81,0.16,0.02,0,0,0.01,,7,14,3,,,129739
FL0062800,0.76,0.11,0.13,0,0,0.01,4,5,2,1,,1,135027
WA0270000,0.86,0.02,0.04,0.03,0.01,0.05,11,79,224,254,135,,429803
VA1110000,0.68,0.22,0.07,0,0,0.03,90,81,108,108,30,,134082
CO0070100,0.86,0.05,0.07,0.02,0.01,0,,1,3,33,88,,106598
MA0122000,0.97,0.03,0,0,0,0,48,30,25,25,26,,64199
NY0450000,0.99,0.01,0,0,0,0,6,2,6,14,31,,171244
MA0112000,0.96,0,0,0.03,0,0,11,5,4,4,,,94519
RI0040200,0.95,0.03,0.01,0.01,0,0,14,16,21,12,7,,81313
DE0020300,0.8,0.12,0.06,0.02,0.01,0,39,52,39,33,,,422025
AR0160100,0.9,0.07,0.02,0.01,0,0,31,23,42,61,37,,79702
MO0390300,0.94,0.01,0.03,0.01,0,0.01,24,14,21,22,19,59,168854
VA1140000,0.89,0.09,0.02,0,0,0,80,15,55,45,32,,82871
MA0093900,0.8,0.07,0.09,0.02,0,0.02,16,15,14,15,8,,81552
WA0370100,0.91,0.03,0.02,0.01,0.01,0.03,3,4,1,7,23,,93629
GA0760200,0.9,0.06,0.03,0.02,0,0,14,26,20,12,25,,78065
LA0280300,0.79,0.18,0.02,0,0,0,10,3,6,4,6,,126679
NY0590400,0.74,0.08,0.17,0,0,0.01,32,25,25,32,29,36,78707
AZ0072900,0.69,0.06,0.18,0.01,0.01,0.05,37,14,30,18,27,,199935
WI0450100,0.92,0.01,0.04,0.03,0.01,0,1,4,2,3,,,61661
GA0440200,0.37,0.57,0.03,0.01,0,0.01,165,269,203,186,211,,525376
NJ0200400,0.59,0.1,0.3,0.01,0,0,42,83,77,149,161,,129518
GA0310100,0.41,0.52,0.05,0.01,0,0.02,108,72,65,58,78,,243077
AZ0072700,0.86,0.04,0.1,0,0,0.01,38,30,41,38,30,78,144620
WA0170800,0.89,0,0.03,0.04,0,0.03,19,17,29,28,9,,94470
MN0270300,0.9,0.04,0.02,0.03,0,0.01,77,108,79,65,81,,80897
ND0090200,0.98,0.01,0.01,0,0,0.01,2,3,1,6,17,,126927
AZ0100000,0.65,0.02,0.29,0.01,0.01,0.02,211,108,99,40,21,,374380
MI6338900,0.9,0.05,0.05,0,0,0,6,8,7,8,5,,80708
FL0100000,0.88,0.03,0.04,0.02,0.01,0.03,,169,100,105,85,,204275
TX0710200,0.16,0.02,0.79,0,0,0.01,90,43,53,45,86,,685288
TX1080000,0.07,0,0.93,0,0,0,7,10,1,7,,,256027
FL0410000,0.85,0.05,0.09,0.01,0,0,29,29,21,121,89,,329213
FL0480400,0.63,0.17,0.18,0.02,0,0,9,7,9,5,17,,293363
DE0020600,0.65,0.25,0.09,0,0,0.01,74,50,33,20,,,70100
TX1880100,0.86,0.01,0.12,0,0,0,52,71,22,11,,,101930
VA1220000,0.61,0.33,0.04,0.02,0,0,78,49,52,25,,,233350
TX0571800,0.83,0.06,0.09,0.02,0,0,9,10,6,5,4,8,141187
IN0820100,0.94,0.05,0,0,0,0,,,,58,,,117747
GA0605600,0.8,0.13,0.05,0.02,0,0,,,,6,,,111219
TX2460500,0.8,0.04,0.16,0,0.01,0,8,4,9,10,6,15,135776
TX0140400,0.68,0.15,0.11,0.05,0,0.01,6,15,12,9,,69,154417
MA0031100,0.76,0.14,0.1,0,0,0,,,,34,28,,94886
MI8253800,0.98,0,0.01,0.01,0,0,11,18,18,9,11,,93342
KS0230100,0.89,0.06,0.03,0,0.02,0.01,10,4,4,4,21,12,99368
CT0008000,0.82,0.02,0.1,0.05,0,0.01,28,31,20,5,4,6,59238
MO0100200,0.89,0.04,0.03,0.01,0.01,0.02,,,,74,,,124829
FL0290000,0.72,0.09,0.15,0.01,0,0.03,99,83,89,78,71,,1022128
SD0510100,0.93,0.01,0.02,0.02,0.02,0.01,47,24,12,19,,,78492
MO0920300,0.94,0.05,0.01,0,0,0,4,2,4,4,,,71563
TX2400100,0.03,0,0.97,0,0,0,121,66,68,82,48,,265515
NB0550000,0.96,0.03,0.01,0,0,0,2,10,4,5,,,28807
NB0100000,0.96,0,0.04,0,0,0,6,8,2,3,,,14262
NC0360600,0.87,0.08,0.03,0.02,0,0,44,37,37,22,22,,77918
NM0080100,0.47,0,0.5,0.03,0,0,40,38,30,22,22,28,12451
AK0010300,0.81,0.04,0.02,0.04,0.06,0.02,4,0,0,2,,,31925
OR0360000,0.96,0.01,0,0.01,0,0.01,,4,10,12,,,44949
PA0220200,0.82,0.11,0.06,0.02,0,0,14,14,17,7,,,49244
TX0572000,0.83,0.05,0.08,0.03,0.01,0,,14,16,6,11,18,88492
IN0530100,0.93,0.04,0.01,0.02,0,0,6,8,1,2,3,,86347
UT0180500,0.92,0.01,0.04,0.02,0,0.01,4,11,7,19,,,97091
TX1551200,0.81,0.09,0.1,0,0,0,7,15,8,9,,4,140870
RI0040900,0.76,0.08,0.12,0.02,0,0,58,56,30,83,57,90,179603
TX1650100,0.69,0.04,0.25,0,0.01,0.01,42,35,7,16,16,21,150529
TX0201000,0.65,0.05,0.16,0.01,0,0.14,24,51,35,36,32,26,119634
TX0210200,0.89,0.04,0.07,0,0.01,0,14,6,6,7,3,,120831
NM0070100,0.33,0.04,0.62,0.01,0,0,56,55,67,51,39,,104022
IL0160200,0.93,0,0.06,0.01,0,0.01,0,0,12,1,4,,74706
TX0920500,0.86,0.1,0.04,0,0,0,,,6,7,3,,79785
IL0163200,0.63,0.25,0.08,0.03,0,0.01,8,3,12,6,6,,73352
NJ0040800,0.54,0.18,0.27,0.01,0,0,245,111,128,387,454,,73127
TX0790500,0.62,0.11,0.2,0.07,0,0,11,9,14,3,,,119671
AR0720100,0.91,0.02,0.06,0,0.02,0,23,17,18,24,,,89252
MA0051400,0.84,0.04,0.09,0.02,0.01,0,5,6,5,9,,,94223
MO0920100,0.99,0.01,0,0,0,0,0,4,2,3,0,,89698
GA0470100,0.28,0.67,0.03,0.01,0.01,0.01,36,24,39,37,,,71567
OR0340100,0.96,0.01,0.01,0.03,0,0,22,9,14,19,,,100085
NM0240200,0.76,0,0.13,0,0.05,0.06,50,38,43,37,77,45,44191
NJ0160200,0.74,0.04,0.19,0.03,0,0,92,60,44,79,49,,85058
OH0570200,0.9,0.09,0,0.01,0,0,37,39,30,23,,,140193
HI0010000,0.24,0,0.01,0.28,0,0.47,68,42,37,44,25,24,201269
HI0050000,0.25,0.01,0.02,0.06,0,0.66,6,11,4,13,8,7,167178
VA0750300,0.8,0.07,0.1,0.03,0,0,40,60,35,35,22,29,468281
TX0430400,0.86,0.03,0.09,0.02,0,0,65,113,157,141,,111,130768
TN0330100,0.77,0.19,0.02,0.01,0,0,,85,122,96,53,41,184211
NH0064600,0.95,0.01,0.03,0.01,0,0,10,6,10,8,6,,89671
NH0063400,0.96,0.02,0.02,0,0,0.01,21,16,15,15,,,113018
MA0093300,0.96,0.01,0.01,0.02,0,0,5,11,8,10,,,88281
OR0240500,0.79,0.03,0.06,0,0,0.12,2,0,4,2,,,26521
IL0492100,0.71,0.07,0.18,0.03,0,0.02,31,31,15,22,9,,85739
WV0200200,0.94,0.06,0,0,0,0,21,11,15,12,,,46038
MA0011200,1,0,0,0,0,0,2,4,2,11,,,20008
FL0520800,0.89,0.04,0.06,0.01,0,0,76,50,75,77,45,,85594
IL0450600,0.79,0.07,0.12,0.02,0.01,0,9,12,19,6,10,,86366
OK0550300,0.92,0.04,0,0.01,0.03,0,7,12,9,12,23,,95571
WI0520200,0.85,0.09,0.06,0,0.01,0,49,34,29,17,,,76573
WV0310100,0.95,0.01,0.03,0.01,0,0,0,1,5,0,,,30775
WA0272300,0.82,0.05,0.06,0.05,0.01,0.01,7,7,8,3,,,61432
AL0050000,0.92,0.07,0,0.01,0,0,2,3,4,2,,,102994
NJ0150700,0.97,0.01,0.01,0.01,0,0,14,12,11,10,7,,94561
MI8234300,0.74,0.05,0.02,0,0,0.19,1,3,14,9,7,,93507
NY0275400,0.97,0.03,0,0,0,0,5,4,0,1,0,,95431
NY0015300,0.94,0.01,0.02,0,0,0.04,37,30,23,13,,,79082
MD0160400,0.78,0.11,0.07,0.03,0,0,295,246,270,220,228,,1036020
MI4143600,0.88,0.04,0.04,0.02,0.02,0,261,213,104,69,,,202513
LA0080100,0.81,0.14,0.03,0,0,0.02,70,38,48,39,39,59,68869
WA0173600,0.72,0.02,0.05,0.11,0,0.12,13,19,3,3,,,97071
MN0860600,1,0,0,0,0,0,0,0,0,0,0,,3549
MN0180500,1,0,0,0,0,0,0,0,0,0,1,,8447
MN0040100,1,0,0,0,0,0,1,0,3,7,0,,15567
MN0430300,1,0,0,0,0,0,2,0,0,0,0,,716
MN0690500,1,0,0,0,0,0,0,0,0,0,2,,4835
MN0020400,0.85,0.12,0,0.04,0,0,5,15,9,5,6,,21291
MN0690600,0.89,0.01,0.02,0.03,0.03,0.03,61,19,69,35,65,,85555
MN0070400,1,0,0,0,0,0,0,0,1,1,0,,3172
MN0220200,1,0,0,0,0,0,0,0,0,0,0,,611
MN0190900,0.92,0.03,0.03,0.03,0,0,3,4,4,2,,,35861
MN0700200,1,0,0,0,0,0,11,3,0,3,5,,6514
MN0430400,1,0,0,0,0,0,0,0,0,0,0,,1724
MN0070200,1,0,0,0,0,0,2,0,0,0,0,,2189
MN0190400,1,0,0,0,0,0,2,3,2,8,0,,11373
MN0620600,0.93,0,0,0.07,0,0,1,0,0,0,3,,22843
MN0700300,1,0,0,0,0,0,2,1,3,0,0,,4935
MN0130500,1,0,0,0,0,0,1,1,1,0,0,,10841
MN0730300,1,0,0,0,0,0,3,2,1,1,0,,2530
MN0271900,0.91,0,0,0,0.09,0,3,0,0,2,4,,14437
MN0550100,0.93,0.02,0.02,0.01,0.01,0,16,6,6,3,13,,120336
MN0700400,0.98,0,0,0.02,0,0,4,2,2,4,2,,42076
MN0380100,1,0,0,0,0,0,0,0,2,4,0,,1750
MN0510200,1,0,0,0,0,0,0,0,0,0,0,,1956
MN0272000,0.87,0,0.04,0.04,0,0.04,0,9,3,0,0,,5625
MN0730400,0.92,0.05,0.03,0,0,0,6,3,6,5,8,,54907
MN0380200,1,0,0,0,0,0,1,0,0,0,0,,3506
MN0190700,0.93,0,0.03,0.03,0,0,3,4,4,4,4,,20007
MN0530100,1,0,0,0,0,0,6,0,2,2,3,,13131
MN0020000,0.96,0.01,0.02,0.01,0.01,0,0,2,4,8,8,,85010
MN0050000,0.96,0,0,0.04,0,0,7,4,1,4,2,,13499
MN0270000,0.94,0.03,0.01,0.02,0,0,8,20,,8,10,,1183
MN0380000,1,0,0,0,0,0,0,0,5,0,0,,5323
MN0540000,1,0,0,0,0,0,0,0,0,0,0,,4006
MN0560000,1,0,0,0,0,0,0,6,1,3,0,,34533
MN0620000,0.86,0.03,0.01,0.1,0,0,7,5,14,29,4,,84720
MN0650000,1,0,0,0,0,0,0,0,0,2,1,,7588
MN0780000,1,0,0,0,0,0,0,0,1,0,0,,1943
TX0430600,0.82,0.07,0.08,0.02,0.01,0,69,79,82,63,59,42,284611
PAPPD0000,0.85,0.13,0.01,0.01,0,0,261,323,372,325,149,,298608
OH0480700,0.81,0.12,0.06,0.01,0,0,1,47,23,12,17,,271237
FL0090000,0.92,0.02,0.06,0,0,0.01,17,17,45,30,26,,150189
NV0020200,0.7,0.14,0.12,0.05,0,0,14,17,19,19,15,12,256217
CA0340H00,0.68,0.09,0.13,0.1,0,0,9,10,11,7,4,1,177331
CA0010000,0.63,0.1,0.14,0.1,0,0.03,49,62,24,23,74,42,130662
CA0010300,0.55,0.15,0.14,0.14,0,0.01,41,12,15,15,24,49,122346
CA0010500,0.63,0.05,0.13,0.1,0.01,0.09,3,7,12,5,6,10,244259
CA0010600,0.62,0.08,0.18,0.05,0,0.07,14,16,16,17,17,32,160891
CA0010800,0.64,0.03,0.1,0.07,0,0.16,0,0,1,3,5,1,49934
CA0010900,0.4,0.18,0.23,0.13,0,0.05,1197,1396,1215,1414,482,482,437923
CA0011000,0.67,0.17,0.17,0,0,0,0,1,0,2,5,1,11184
CA0040000,0,0,0,0,0,1,32,47,41,35,29,15,79208
CA0040300,0.79,0,0.14,0,0,0.07,1,1,4,5,6,3,7320
CA0070000,0.71,0.07,0.15,0.04,0,0.03,11,10,7,5,13,22,300829
CA0070600,0.39,0.09,0.3,0.13,0,0.09,3,6,0,4,2,6,26524
CA0080100,0.63,0,0.25,0.13,0,0,1,4,2,1,5,2,6706
CA0090000,0.93,0.01,0.04,0.01,0,0.01,79,12,10,12,10,6,158704
CA0100300,0.18,0,0.82,0,0,0,0,0,2,1,2,0,8377
CA0100500,0.52,0.06,0.35,0.04,0.01,0.02,209,171,231,146,135,162,535472
CA0100900,0.36,0,0.5,0.14,0,0,1,0,0,0,0,2,11531
CA0110100,0.91,0,0.09,0,0,0,1,3,4,2,6,0,7878
CA0130000,0.22,0,0.74,0.01,0.01,0.02,15,10,13,5,4,13,35027
CA0130200,0.1,0,0.87,0.03,0,0,6,11,4,5,6,8,39957
CA0130600,0.22,0,0.72,0,0.06,0,4,2,2,3,3,3,18528
CA0150000,0.61,0.01,0.33,0.03,0.01,0.01,104,142,115,172,169,164,329083
CA0150100,0.44,0,0.39,0,0,0.17,2,0,2,1,3,3,22149
CA0150200,0.69,0.04,0.24,0,0,0.02,55,49,101,44,87,109,388265
CA0160200,0.67,0.02,0.29,0,0,0.02,6,11,10,7,9,9,58075
CA0170100,0.92,0,0.08,0,0,0,3,2,2,2,2,3,5035
CA0180000,0.86,0,0,0.06,0.08,0,5,19,5,11,0,,15094
CA0190000,0.39,0.09,0.45,0.07,0,0,920,986,1010,985,763,742,2791309
CA0191000,0.62,0.09,0.14,0.09,0,0.06,24,25,36,43,28,17,33776
CA0191200,0.66,0.05,0.22,0.04,0.01,0.01,33,64,51,27,28,23,102419
CA0191800,0.5,0.08,0.31,0.05,0,0.07,15,28,18,23,20,42,39218
CA0192000,0.49,0.04,0.46,0.02,0,0,5,13,13,10,4,7,111054
